COUNTRY,STATE,VNP46_SOL,YRQTR,FILE_NAME
United States,Connecticut,58283.05078,2015Q1,processed_2015Q1.tif
United States,Connecticut,45785.84766,2015Q2,processed_2015Q2.tif
United States,Connecticut,42916.11719,2015Q3,processed_2015Q3.tif
United States,Connecticut,40871.55859,2015Q4,processed_2015Q4.tif
United States,Connecticut,44736.21484,2016Q1,processed_2016Q1.tif
United States,Connecticut,43765.16797,2016Q2,processed_2016Q2.tif
United States,Connecticut,41254.25391,2016Q3,processed_2016Q3.tif
United States,Connecticut,42882.75391,2016Q4,processed_2016Q4.tif
United States,Connecticut,42616.95313,2017Q1,processed_2017Q1.tif
United States,Connecticut,42278.33203,2017Q2,processed_2017Q2.tif
United States,Connecticut,40565.30859,2017Q3,processed_2017Q3.tif
United States,Connecticut,51209.65234,2017Q4,processed_2017Q4.tif
United States,Connecticut,47899.42578,2018Q1,processed_2018Q1.tif
United States,Connecticut,42102.16797,2018Q2,processed_2018Q2.tif
United States,Connecticut,36539.18359,2018Q3,processed_2018Q3.tif
United States,Connecticut,39255.5,2018Q4,processed_2018Q4.tif
United States,Connecticut,45402.95703,2019Q1,processed_2019Q1.tif
United States,Connecticut,41186.81641,2019Q2,processed_2019Q2.tif
United States,Connecticut,40488.54688,2019Q3,processed_2019Q3.tif
United States,Connecticut,39553,2019Q4,processed_2019Q4.tif
United States,Connecticut,42800.12891,2020Q1,processed_2020Q1.tif
United States,Connecticut,36391.94531,2020Q2,processed_2020Q2.tif
United States,Connecticut,34794.71094,2020Q3,processed_2020Q3.tif
United States,Connecticut,38547.17969,2020Q4,processed_2020Q4.tif
United States,Massachusetts,85829.09375,2015Q1,processed_2015Q1.tif
United States,Massachusetts,71700.82813,2015Q2,processed_2015Q2.tif
United States,Massachusetts,69332.5625,2015Q3,processed_2015Q3.tif
United States,Massachusetts,64331.94531,2015Q4,processed_2015Q4.tif
United States,Massachusetts,71364.89844,2016Q1,processed_2016Q1.tif
United States,Massachusetts,70592.42188,2016Q2,processed_2016Q2.tif
United States,Massachusetts,67900.92969,2016Q3,processed_2016Q3.tif
United States,Massachusetts,68610.24219,2016Q4,processed_2016Q4.tif
United States,Massachusetts,72906.92969,2017Q1,processed_2017Q1.tif
United States,Massachusetts,69924.13281,2017Q2,processed_2017Q2.tif
United States,Massachusetts,67189.45313,2017Q3,processed_2017Q3.tif
United States,Massachusetts,76312.77344,2017Q4,processed_2017Q4.tif
United States,Massachusetts,75768,2018Q1,processed_2018Q1.tif
United States,Massachusetts,67864.14063,2018Q2,processed_2018Q2.tif
United States,Massachusetts,61820.96484,2018Q3,processed_2018Q3.tif
United States,Massachusetts,66403.22656,2018Q4,processed_2018Q4.tif
United States,Massachusetts,71719.55469,2019Q1,processed_2019Q1.tif
United States,Massachusetts,67056.09375,2019Q2,processed_2019Q2.tif
United States,Massachusetts,67874.10938,2019Q3,processed_2019Q3.tif
United States,Massachusetts,67269.15625,2019Q4,processed_2019Q4.tif
United States,Massachusetts,70409.60156,2020Q1,processed_2020Q1.tif
United States,Massachusetts,61029.75391,2020Q2,processed_2020Q2.tif
United States,Massachusetts,59039.19531,2020Q3,processed_2020Q3.tif
United States,Massachusetts,62631.46875,2020Q4,processed_2020Q4.tif
United States,New York,265370.5625,2015Q1,processed_2015Q1.tif
United States,New York,147597.6406,2015Q2,processed_2015Q2.tif
United States,New York,135590.8125,2015Q3,processed_2015Q3.tif
United States,New York,113318.1094,2015Q4,processed_2015Q4.tif
United States,New York,153492.7656,2016Q1,processed_2016Q1.tif
United States,New York,144583.3438,2016Q2,processed_2016Q2.tif
United States,New York,133655.6406,2016Q3,processed_2016Q3.tif
United States,New York,129856.7344,2016Q4,processed_2016Q4.tif
United States,New York,175370.6406,2017Q1,processed_2017Q1.tif
United States,New York,137757.7656,2017Q2,processed_2017Q2.tif
United States,New York,131466.8281,2017Q3,processed_2017Q3.tif
United States,New York,168141.6406,2017Q4,processed_2017Q4.tif
United States,New York,240950.5313,2018Q1,processed_2018Q1.tif
United States,New York,139183.0625,2018Q2,processed_2018Q2.tif
United States,New York,119748.5781,2018Q3,processed_2018Q3.tif
United States,New York,124476.0156,2018Q4,processed_2018Q4.tif
United States,New York,208379.2344,2019Q1,processed_2019Q1.tif
United States,New York,133510.8438,2019Q2,processed_2019Q2.tif
United States,New York,129812.9922,2019Q3,processed_2019Q3.tif
United States,New York,133345.0156,2019Q4,processed_2019Q4.tif
United States,New York,156342.5,2020Q1,processed_2020Q1.tif
United States,New York,114052.0703,2020Q2,processed_2020Q2.tif
United States,New York,113193.25,2020Q3,processed_2020Q3.tif
United States,New York,111388.6172,2020Q4,processed_2020Q4.tif
