STATE,SECTOR,UNITS,SOURCE KEY,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1
New York, all sectors,million kilowatthours,ELEC.SALES.NY-ALL.Q,36555,34237,39233,34156,35096,34460,42306,35578,36389,33087,40215,34353,36754,34223,39476,34629,36766,34237,43274,35871,34831,32962,40487,33958,36094,34848,41291,35945,35792,33545,40335,34380,35876,32280,38365,33513,35281,33262,42053,34028,35731,33594,41168,33553,34273,33218,42115,33556,36311,34652,42080,34852,37871,34419,40337,34745,37818,34564,42161,34370,35757,33796,43740,34510,35422,33486,40774,35311,36691,34036,43491,35712,36366,33041,41972,34221,34574,31237,40723,32669,34854
New York, residential,million kilowatthours,ELEC.SALES.NY-RES.Q,11560,9811,12682,10182,11207,10110,14244,10897,12402,10146,13571,10997,12470,10477,13267,11165,12567,10668,15546,11752,12226,10430,14527,11244,12560,11224,14574,11884,12468,10806,14320,11440,12867,10526,13415,11438,12694,10970,15518,11763,13056,11371,15394,11419,12235,11078,15902,11477,12732,11368,15227,11450,13722,11042,13916,11295,13583,11144,15151,11135,12297,10786,16396,11352,12284,10805,14461,11530,12894,11090,16208,11961,12739,10673,15440,11289,12077,11496,16849,11805,13212
New York, commercial,million kilowatthours,ELEC.SALES.NY-COM.Q,14998,14634,16866,14308,14538,14846,17750,15136,17941,16809,20292,17452,18399,18035,20182,17762,18664,17893,21783,18482,18269,18183,21328,18249,18055,17705,20443,18124,18970,18332,21507,18606,18944,17774,20688,17940,18601,18215,22224,18235,18633,18123,21588,18062,18128,18129,21900,17861,18477,18077,21515,18273,19056,18171,21001,18313,19093,18227,21572,18113,18416,17930,22021,18140,18375,17595,20828,18535,18643,18022,21714,18366,18523,17545,21081,17941,17800,15531,19156,16137,16973
New York, industrial,million kilowatthours,ELEC.SALES.NY-IND.Q,6502,6522,6091,6336,5954,6234,6757,6204,5363,5500,5663,5219,5262,5077,5326,5011,4801,5008,5195,4942,3618,3686,3903,3770,4520,5137,5436,5120,3617,3717,3766,3586,3223,3296,3493,3404,3212,3386,3583,3300,3240,3368,3470,3341,3192,3362,3600,3551,4362,4518,4606,4425,4332,4520,4730,4421,4362,4539,4750,4429,4330,4428,4619,4332,4041,4426,4792,4553,4338,4249,4818,4672,4359,4163,4741,4285,3979,3680,4061,4082,4004
New York, transportation,million kilowatthours,ELEC.SALES.NY-TRA.Q,--,--,--,--,--,--,--,--,683,632,689,685,623,634,702,691,734,667,750,695,718,663,729,696,959,782,839,817,737,690,742,749,842,683,769,731,773,691,727,730,802,732,716,731,718,650,713,667,741,688,731,704,761,686,690,716,781,653,688,694,714,652,704,686,722,660,693,693,816,675,750,712,745,660,710,706,719,529,656,646,666
New York, other,million kilowatthours,ELEC.SALES.NY-OTH.Q,3495,3270,3594,3330,3397,3271,3556,3340,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Connecticut, all sectors,million kilowatthours,ELEC.SALES.CT-ALL.Q,7775,7262,8061,7443,7506,7213,8607,7679,8142,7184,8927,7578,8400,7548,8500,7766,8281,7619,9165,8030,7984,7436,8713,7544,8377,8048,9232,8473,7921,7162,8442,7432,8007,6768,7945,6995,7757,6949,8653,7032,7608,7064,8407,6780,7388,6709,8597,6799,7579,6916,8423,6906,7894,6705,7904,6852,7912,6719,8287,6557,7228,6646,8476,6580,7063,6555,7673,6845,7161,6539,8321,6813,7130,6244,7811,6715,6594,6152,7883,6384,6902
Connecticut, residential,million kilowatthours,ELEC.SALES.CT-RES.Q,3339,2593,3187,2854,3139,2640,3554,3140,3619,2726,3674,3160,3677,2894,3396,3245,3673,2946,3858,3326,3463,2786,3665,3049,3607,2870,3603,3293,3457,2728,3465,3081,3620,2671,3346,2941,3531,2755,3812,2967,3529,2880,3670,2840,3340,2678,3843,2896,3568,2836,3760,2971,3789,2709,3394,2885,3805,2737,3659,2692,3308,2698,3888,2784,3280,2735,3371,2994,3406,2726,3912,3017,3354,2580,3602,2958,3088,2982,3927,2976,3468
Connecticut, commercial,million kilowatthours,ELEC.SALES.CT-COM.Q,3011,3045,3334,3053,2967,3077,3486,3085,3193,3077,3729,3096,3360,3292,3598,3205,3347,3341,3870,3391,3289,3328,3719,3275,3495,3717,4148,3766,3373,3303,3738,3251,3408,3162,3560,3127,3307,3223,3758,3140,3179,3201,3673,3034,3160,3083,3706,3026,3153,3144,3651,3060,3237,3068,3519,3069,3235,3095,3641,2987,3076,3068,3611,2946,2976,2977,3376,3006,2962,2972,3485,2963,2962,2874,3339,2982,2809,2479,3150,2660,2729
Connecticut, industrial,million kilowatthours,ELEC.SALES.CT-IND.Q,1286,1497,1402,1387,1260,1369,1434,1307,1280,1337,1479,1270,1313,1316,1458,1272,1212,1288,1387,1265,1188,1284,1279,1175,1217,1419,1434,1364,1042,1085,1197,1047,928,891,990,883,874,925,1037,877,851,937,1019,862,837,900,999,829,807,889,964,830,830,876,951,859,820,841,936,835,799,836,929,806,758,805,881,800,752,802,865,790,763,754,823,732,656,668,775,718,669
