STATE,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4
United States,17305752,17422845,17486021,17514062,17613264,17668203,17764388,17876179,17977299,18054052,18185636,18359432,18530483,18654383,18752355,18813923,18950347,19020599,19141744,19253959,19010848,17302511,18596521,18794426
Alabama,188020.3,189664.3,190268.1,189762.6,190472.2,191585.3,191506.9,192529.2,193125.5,192926.2,193380,195340.2,197154.4,197704.5,197936.2,199419.7,199819.5,200006.6,201415.8,202075.5,200425.9,183585.7,197739.6,200147.4
Alaska,54513.6,53918.1,53830.5,53799.1,54245.1,53348.1,52824.4,52738.3,52817.7,52731.2,53108.2,52646.4,52871.3,52919.4,52878.7,53045.5,53046.5,53031.1,53503,53440.2,52615.9,47460.3,50890.9,51615.1
Arizona,279574.9,281709.8,281499.6,284958,286436.3,290018.5,293655.5,294928.1,298506.6,299757.4,304287.1,305919.9,311712.7,312751,314836.7,316763.9,318965.8,321335.6,325081.4,329007.5,326367.3,303451,324679.8,328135
Arkansas,111911.2,112640.5,113615.6,113588.1,113271.2,113455.7,113122,114112.5,114678.1,114822.3,114580.1,115722.2,116118.2,116700.1,116773.8,117203,116707.4,117149.8,117685.9,118245.3,117049.6,107857.2,115567.7,117006.9
California,2403036.5,2441494.7,2449234,2455702.5,2494147.1,2498404.2,2532052.3,2551930.8,2583442.6,2612385.8,2641495.5,2675934.5,2680610.4,2703367.1,2717531.8,2734358.3,2758794.6,2792062,2802897.8,2848267.1,2817221.7,2562916.9,2742917.6,2768298.2
Colorado,305883.2,307713.1,309960.6,312038.8,310681.2,312917.8,317699.6,321873.2,323179,325580.4,330620.9,334660.6,339705.9,341981,343228.4,346546.8,350595.9,354001.9,359155.5,361367.3,360166.6,331687,354244.5,358173
Connecticut,244711.8,245993.8,244973.4,245538.9,246319.9,246004.5,245287.6,246252.4,246160.6,248828.8,248953.3,248365.6,249589.4,247717.9,250471.4,248394.6,251391.6,250666.7,251046.5,252214.6,248334.4,226222,242765.5,246890.2
Delaware,66950.6,68029.8,65817.8,65309.6,63185.4,63166.2,62643.2,62561.4,62442.4,61018.7,61870.9,62072.3,62349.7,62903.1,63893.1,63504.5,64246,64299,64229,64503,62574.3,58822.5,62521.7,63416.4
District of Columbia,116270.2,117222.1,117080.5,117471.4,119120.7,119301.7,119107,120151.3,118855.4,119473.7,121565.7,120948.9,121744.9,122473.7,123421,123007.9,123090.7,123578.5,124107.3,124940.6,124570.8,117650.7,122934.4,123298.5
Florida,827573,839558.6,846725.3,855220.5,855807.6,866260.9,877547.7,884236.6,892458.9,896952,903030.2,915173.2,929250,931369.6,941547.9,944153.6,955902.7,958261.2,965351.7,973507.9,962898.2,880375.1,946128.7,953295.3
Georgia,477848.3,484056.6,486529.3,489079.4,496548.6,498437.2,501692.7,506958.5,514040.6,515119.6,519931,528719.4,532848.3,536756.9,542342.3,542975.7,544005.8,545658.8,548905.6,551120.4,545463.2,502949.1,539836.8,546017.9
Hawaii,76457.1,76997.6,77333.6,77918.1,78459.1,78842.3,79178.5,79894,80794.4,80904.1,81112.8,81346.7,81932.6,82528.6,82045.1,82309.1,82329.9,82130.6,82441.8,82983.4,81068.5,70674.2,75658.3,76049.9
